Shop Name,Shop Code,Store ID,Channel,Area Sup,Customer Name,Customer Code,Sales Org,REGION,Channel Lv1,Channel Lv2
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาพาน,B000094541,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาห้วยไคร้,B000094544,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาบ้านต๋อม,TSP000189,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (Chaiang Kham),B000094422,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขา ม.พะเยา สาขาที่ 00044),B000093672,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเชียงแสน),B000094427,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเชียงของ สาขาที่ 00009),B000093674,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเมืองลำปาง สาขาที่ 00060),B000150637,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเวียงแก่น สาขาที่ 00027),B000094430,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเวียงชัย),B000139598,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาเวียงป่าเป้า),B000093666,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาแม่โจ้ สาขาที่ 00047),B000094429,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
